OrderID,OrderDate,PostcodeDistrict,AreaGroup,OrderType,Plan,Product,UnitPrice,Quantity,Revenue,DeliverySlot,OnTime,Fulfilled,PrePostPilot,IsSubscription,IsEvening,IsOnTime,Month
1,2025-03-16,IG6,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Evening,Yes,Yes,Pre-Pilot,0,1,1,2025-03
2,2025-03-16,E12,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
3,2025-03-16,IG2,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
4,2025-03-16,E13,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
5,2025-03-17,E6,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
6,2025-03-17,E6,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,No,Yes,Pre-Pilot,0,0,0,2025-03
7,2025-03-17,E9,Hackney-BethnalGreen,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
8,2025-03-17,E2,Hackney-BethnalGreen,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
9,2025-03-17,E3,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
10,2025-03-17,RM8,Barking-Dagenham,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Evening,Yes,Yes,Pre-Pilot,0,1,1,2025-03
11,2025-03-17,E10,Stratford-EastHam,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
12,2025-03-17,E6,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Evening,Yes,Yes,Pre-Pilot,0,1,1,2025-03
13,2025-03-17,E3,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Evening,Yes,Yes,Pre-Pilot,1,1,1,2025-03
14,2025-03-17,E11,Stratford-EastHam,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
15,2025-03-18,E10,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
16,2025-03-18,E11,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Evening,No,Yes,Pre-Pilot,0,1,0,2025-03
17,2025-03-18,E3,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
18,2025-03-18,RM6,Barking-Dagenham,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
19,2025-03-18,E14,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
20,2025-03-18,E9,Hackney-BethnalGreen,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
21,2025-03-18,E3,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
22,2025-03-19,E3,Docklands,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
23,2025-03-19,E6,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
24,2025-03-19,IG11,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
25,2025-03-19,IG6,Ilford-Redbridge,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
26,2025-03-19,E16,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
27,2025-03-19,IG1,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
28,2025-03-19,IG6,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
29,2025-03-19,IG11,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
30,2025-03-19,E14,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
31,2025-03-20,IG1,Ilford-Redbridge,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
32,2025-03-20,E1,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
33,2025-03-20,E10,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
34,2025-03-20,E8,Hackney-BethnalGreen,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes,Pre-Pilot,1,1,1,2025-03
35,2025-03-20,IG11,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
36,2025-03-20,E14,Docklands,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,No,Yes,Pre-Pilot,0,0,0,2025-03
37,2025-03-20,IG11,Ilford-Redbridge,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
38,2025-03-20,IG2,Ilford-Redbridge,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
