OrderID,OrderDate,PostcodeDistrict,AreaGroup,OrderType,Plan,Product,UnitPrice,Quantity,Revenue,DeliverySlot,OnTime,Fulfilled
1,16-03-2025,IG6,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Evening,Yes,Yes
2,16-03-2025,E12,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
3,16-03-2025,IG2,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
4,16-03-2025,E13,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
5,17-03-2025,E6,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
6,17-03-2025,E6,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,No,Yes
7,17-03-2025,E9,Hackney-BethnalGreen,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
8,17-03-2025,E2,Hackney-BethnalGreen,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
9,17-03-2025,E3,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
10,17-03-2025,RM8,Barking-Dagenham,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Evening,Yes,Yes
11,17-03-2025,E10,Stratford-EastHam,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes
12,17-03-2025,E6,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Evening,Yes,Yes
13,17-03-2025,E3,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Evening,Yes,Yes
14,17-03-2025,E11,Stratford-EastHam,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
15,18-03-2025,E10,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
16,18-03-2025,E11,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Evening,No,Yes
17,18-03-2025,E3,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
18,18-03-2025,RM6,Barking-Dagenham,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
